# bin_centers,CoVs,smoothed_CoVs,FAPs
2.258329782878277570e+02,1.001498391499734186e+00,1.015474229730874312e+00,1.066363078639152251e+00
2.286297277007273578e+02,1.005557575248989588e+00,1.015474229730874312e+00,1.065805911879531553e+00
2.314529000583804077e+02,1.020158224073723918e+00,1.014880398360500813e+00,1.065278862242052593e+00
2.343026677457921778e+02,1.009238242473347036e+00,1.014419706974775348e+00,1.064721695482431674e+00
2.371792037704850031e+02,1.018777487153881278e+00,1.013909862005634377e+00,1.064179587283881734e+00
2.400826817629368293e+02,1.017230038497191735e+00,1.013661547881914204e+00,1.063622420524261036e+00
2.430132759770184805e+02,1.010314049612430987e+00,1.013456321153451078e+00,1.063065253764640339e+00
2.459711612904302172e+02,1.017077031844469071e+00,1.014010229767860816e+00,1.062508087005019641e+00
2.489565132051371279e+02,9.893987974807371133e-01,1.014177512284158977e+00,1.061935861684327964e+00
2.519695078478036692e+02,1.001796739530712355e+00,1.013611595886988237e+00,1.061378694924707267e+00
2.550103219702272384e+02,1.018283799557103464e+00,1.013244254157646518e+00,1.060791411042944832e+00
2.580791329497706670e+02,1.018394728093963808e+00,1.012877336726359268e+00,1.070835471277189033e+00
2.611761187897938612e+02,1.018284518635290681e+00,1.011999877549112803e+00,1.081090351366424951e+00
2.643014581200846465e+02,1.021873802332285086e+00,1.010596753146752347e+00,1.091420524261015101e+00
